OBJECTID,Identificador,Nombre,Horario,Dirección,Localidad,Número de cupos,Tipología,Tipo de sello,coord_x,coord_y
525,98,"Fast Parking LTDA,",L-V 07:00 - 20:00,CL 23 14 24,Los Mártires,12,Público,Plata,"-74,07502861303298","4,611927465571858"
526,99,Parqueadero Parroquia Las Mercedes,L-S 07:00 - 20:00,CL 12 B 27 64,Los Mártires,12,Público,Plata,"-74,09055355828457","4,611716565031715"
527,100,Centro Comercial Sabana Plaza / Parking Estación Central,L-S 07:00 - 20:00 D-F 09:00 - 16:00,KR 19A 12 51,Los Mártires,66,Público,Plata,"-74,0857991042691","4,607080270610018"
528,101,Solo Motos El Paisa,L-V 07:00 - 20:00,CL 13 14 23,Los Mártires,12,Público,Plata,"-74,08028263275433","4,603736313233428"
529,102,Cancha Sintética,L-V 07:00 - 20:00,KR 22 19 70,Los Mártires,14,Público,Plata,"-74,08239239716599","4,6157140963181496"
530,103,Parqueadero Motos,L-S 07:00 - 19:30,KR 19A 12 71,Los Mártires,22,Público,Plata,"-74,0856540191642","4,607307169070685"
531,104,Parqueadero Publico Lima,L-V 07:00 - 20:00,KR 13 18 61,Santa Fé,50,Público,Plata,"-74,0756226123365","4,607723828563806"
533,106,Parqueo Tranquilo YPT,L-V 07:00 - 20:00,KR 58 128 50,Suba,12,Público,Plata,"-74,07008064034575","4,714343978132154"
534,107,Punto Verde,L-V 07:00 - 20:00,Calle 73 20 39,Barrios Unidos,13,Público,Plata,"-74,06210542510111","4,661042057581229"
535,108,Niza,L-D 06:00 - 22:00,KR 70D 127 48,Suba,60,Público,Oro,"-74,07393675302593","4,711308772307011"
536,109,Idipron,L-V 07:00 - 20:00,CL 61A  7 78,Chapinero,24,Privado,Oro,"-74,06107323928009","4,646479639908877"
537,110,Idiger,L-V 07:00 - 20:00,DG 47 77A 09,Engativá,55,Privado,Oro,"-74,11343886329131","4,674760017691212"
538,82,"Aparcar A,G,",L-V 07:00 - 22:00 S 07:00 - 18:00,CL 43A 18 A 40,Teusaquillo,40,Público,Plata,"-74,07188192328884","4,6321680803388885"
539,112,City Parking Intercentro,L-S 05:30 - 22:00 D-F 06:30 - 17:00,KR 9 23 75,Santa Fé,26,Público,Plata,"-74,07107583174674","4,610177708026175"
540,111,Parqueadero P y T,L-S 07:00 - 20:00,CL 55 10 43,Chapinero,12,Público,Plata,"-74,06415500328706","4,641906938383203"
541,114,City Parking Bacata,24 h,CL 20 5 63,Santa Fé,71,Público,Oro,"-74,07040417578185","4,605577084947393"
542,115,Universidad Central (Sede Norte),L-V 06:00 - 22:00,CL 75 16 03,Chapinero,108,Privado,Oro,"-74,06039173688139","4,662339574323098"
543,116,City Parking Hotel Best Western,L-S 06:00 - 22:00,CL 93 13 71,Chapinero,15,Público,Plata,"-74,05048253955987","4,675701342311231"
544,117,City Parking kr 15 con 93,"L-M 06:00 - 22:00
J-S 24 h",KR 15 93 07,Chapinero,14,Público,Plata,"-74,05188011781765","4,676901957869395"
545,118,City Parking Surtifruver Chapinero,"L-J 07:00 - 24:00
V-S 07:00 - 03:00
D-F 08:00 - 22:00",KR 7 58 18,Chapinero,14,Público,Plata,"-74,06182269384017","4,643703556204612"
546,119,City Parking Parque 93,"L-M 06:00 - 23:00
J 06:00 - 01:00
V-S 06:00 - 03:00
D-F 08:00 - 22:00",KR 12 93 43,Chapinero,12,Público,Plata,"-74,0488270190514","4,675684339180049"
547,120,City Parking Kr 8 con 64,L-S 06:00 - 22:00,KR 8 64 30,Chapinero,12,Público,Plata,"-74,06038209167016","4,649329733832685"
548,121,City Parking Cl 97 con 15,"L-S 06:00 - 22:00
D 11:00 - 19:00",CL 97 15 21,Chapinero,12,Público,Plata,"-74,0492469149714","4,682405002553732"
549,122,City Parking Cl 100,"L-S 06:00 - 22:00
D-F 09:00 - 17:00",CL 100 13 67,Usaquén,12,Público,Plata,"-74,04606893241434","4,6837862947121645"
550,123,City Parking LINK 7-60,L-S 06:00 - 22:00,CL 59 A Bis 5 53,Chapinero,18,Público,Oro,"-74,06095894482986","4,644858100798775"
551,124,City Parking Park 90 - Carulla,"L-S 05:30 - 3:00
D 08:00 -20:00",CL 90 16 05,Chapinero,48,Público,Oro,"-74,05393079913475","4,674875292815355"
552,125,City Parking Park 63,24 h,CL 63 15 32,Barrios Unidos,14,Público,Oro,"-74,0660373394216","4,6499142859485225"
553,126,City Parking Cl 64 con 10,"L-J 06:00 - 22:00
V-S 06:00 - 03:00
D 07:00 - 15:00",CL 64 10 64,Chapinero,20,Público,Oro,"-74,06227699703219","4,650179271752933"
554,127,City Parking Via 7,"L-V 05:00 - 22:00
S-D 06:00 - 18:00",CL 66 7 18,Chapinero,12,Público,Oro,"-74,05899667210976","4,6499660323014975"
555,128,City Parking Cl 72 con 11,"L-S 06:00 - 22:00
D-F 10:00 - 18:00",CL 72 11 61,Chapinero,14,Público,Oro,"-74,05932150022156","4,65770627832074"
556,129,City Parking Cl 93B,"L-M 06:00 - 23:00
J-V-S 06:00 - 03:00
D-F 09:00 - 23:00",CL 93B 13 55,Chapinero,18,Público,Oro,"-74,04961885971984","4,67792615696965"
557,130,City Parking Park 97,L-S 06:00 - 22:00,KR 14 96 55,Chapinero,56,Público,Oro,"-74,04843561140402","4,681702007225108"
558,131,City Parking Bogotá Trade Center,"L-V 06:00 - 22:00
S 06:00 - 15:00",KR 10 97A 13,Chapinero,14,Público,Oro,"-74,04353286978969","4,68032446592272"
559,132,City Parking Universidad Externado,"L-V 05:30 - 22:00 
S 06:00 - 18:00",CL 12 1 17 Este,La Candelaria,104,Público,Oro,"-74,06890703993608","4,595615842064089"
560,133,City Parking Elemento,24 h,CL 26 69 76,Engativá,216,Público,Plata,"-74,10712103884755","4,658339670975902"
561,134,City Parking Olivos Candelaria,L-D: 06:00 - 22:00,KR 13 34 83,Chapinero,12,Público,Plata,"-74,06798440905384","4,622732277274512"
562,135,City Parking Universidad Catolica,L-V: 5:30 - 22:00,KR 13 46 55,Chapinero,38,Público,Oro,"-74,06616217200845","4,63374528882715"
563,136,City Parking Centro Empresarial North Point,24 h,KR 7 156 80,Usaquén,51,Público,Oro,"-74,02412764897339","4,732700667123057"
564,137,City Parking Cruz Verde Cedritos,"L-S 06:00 - 21:00
D 06:00 - 20:00",AV 19 151 75,Usaquén,12,Público,Plata,"-74,0448423008602","4,7337655646068715"
565,138,City Parking BIOS,"L-J 05:00 - 23:00
V 05:00 - 21:00
S 07:00 - 18:00
D-F 07:00 - 16:00",KR 23 134A 21,Usaquén,18,Público,Oro,"-74,05055052316224","4,720140601957929"
566,139,City Parking Jungla Kumba,"L-J 12:00 - 21:00
V-S 12:00 - 21:00
D-F 12:00 - 19:00",KR 59D 131 45,Suba,12,Público,Plata,"-74,0723541083449","4,723325190637829"
567,140,City Parking Cruz Verde 123,"L-V 5:30 - 21:00
D-F 07:00 - 17:00",AK 45 123 14,Usaquén,12,Público,Oro,"-74,05398160964387","4,704155580413819"
568,141,City Parking Javesalud,"L-V 5:30 - 02:00
S 06:00 - 18:00",AK 45 124 02,Usaquén,15,Público,Plata,"-74,05433084857519","4,704891774589579"
569,142,City Parking Pluss 127,"L-V 06:00 - 21:00
S 06:00 - 18:00",CL 127  20 16,Usaquén,84,Público,Oro,"-74,05065536643737","4,705908217047708"
570,143,City Parking Imagen 127,"L-V 06:00 - 21:00
S 06:00 - 18:00",CL 127 Bis 19 25,Usaquén,57,Público,Oro,"-74,048956375554","4,70664150237603"
571,144,City Parking Pepe Sierra,L-D 06:00 - 23:00,KR 17 116 14,Usaquén,12,Público,Plata,"-74,04613218099688","4,697692605013535"
572,145,City Parking CL 109 con KR 15,"L-S 06:00 - 22:00
D-F 10:00 - 19:00",CL 109 15 47,Usaquén,12,Público,Oro,"-74,04556386542565","4,692940088837497"
573,146,City Parking AK 19 con 105,"L-V 06:00 - 22:00
S 06:00 - 18:00",KR 19 105 52,Usaquén,20,Público,Oro,"-74,05092293503465","4,692760951981657"
574,147,City Parking Bogota Business Center,"L-V 5:30 - 22:00
S 06:00 - 22:00
D 08:00 - 16:00",CL 103 14A 53,Usaquén,38,Público,Plata,"-74,0469159386244","4,687705419413065"
575,148,City Parking Banco Santander (Corpbanca),"L-V 5:30 - 22:00
S 06:00 - 14:00",CL 99 7A 44,Chapinero,65,Privado,Oro,"-74,03963905122374","4,679563774929557"
576,149,City Parking KR 9 con CL 109,"L-S 06:00 - 22:00
D-F 09:00 - 21:00",KR 9 109 50,Usaquén,19,Público,Plata,"-74,03925114610766","4,69015533435958"
577,150,Edificio Citibank,24 h,KR 9A 99 02,Usaquén,98,Público,Oro,"-74,0420832126016","4,680965411659426"
578,151,Unidad Administrativa Especial de Servicios Públicos UAESP,L-V 07:00 - 20:00,AK 14 53 80,Chapinero,33,Público,Oro,"-74,06612270183147","4,640659037652994"
579,167,City Parking Torre 78,L-D 06:00 - 20:00,CR 12A 78 40,Chapinero,56,Público,Plata,"-74,05602907858552","4,66404906723477"
580,165,City Parking CR 11 - 94,L-D 06:00 - 20:00,CR 11 94 50,Usaquén,12,Público,Oro,"-74,04574207411001","4,6776830212531175"
581,169,JW Marriot,24 h,CL 73 7 88,Chapinero,198,Público,Oro,"-74,05549845901855","4,6566611379169505"
582,168,Orquesta Filarmónica de Bogotá,L-S 6:30 - 22:00,CL 39 Bis 14 32,Teusaquillo,34,Privado,Oro,"-74,06925233795825","4,627524042917666"
583,166,City Parking QBO,L-D 06:00 - 20:00,CL 93A 13 24,Usaquén,12,Público,Plata,"-74,04945224828579","4,676886497410988"
584,170,Ecopetrol Edificio San martin,24 h,KR 7 32 42,Santa Fé,96,Privado,Oro,"-74,06790358133952","4,6192869441945295"
585,171,Ecopetrol Dirección General,24 h,KR 13 36 24,Santa Fé,24,Privado,Oro,"-74,06770814656124","4,624315299970339"
586,172,Ecopetrol Teusacá,24 h,KR 7 37 69,Santa Fé,24,Privado,Oro,"-74,06598303805931","4,625431267036038"
587,152,Secretaría de Desarrollo Económico - Plaza de los Artesanos,L-V 07:00 - 20:00,KR 60 63A 52,Santa Fé,70,Privado,Oro,"-74,08733087466067","4,662700814602496"
588,153,Capital Tower Administracion,"L-V 05:30 - 22:00
S 06:00 - 14:00",AC 100  7 33,Barrios Unidos,77,Privado,Oro,"-74,03859991783233","4,679661731970816"
589,156,Secretaría Distrital de Salud,24 h,KR 32 12 81,Puente Aranda,80,Privado,Oro,"-74,09342119177555","4,6156462696203215"
590,157,Secretaría Distrital de Hábitat,L-V 06:00 - 20:00,KR 13 52 25,Chapinero,68,Privado,Oro,"-74,06522002163338","4,639297298015077"
591,161,City Parking Edificio Flormorado CR 7 - 116,"L-S 06:00 - 22:00
D-F 09:00 - 21:00",CR 7 116 44,Usaquén,166,,Oro,"-74,03294912662301","4,69451092957245"
592,162,City Parking Edificio Flormorado CL 117 CR 6,"L-S 06:00 - 22:00
D-F 09:00 - 21:00",CL 117 6a 60,Usaquén,72,Privado,Oro,"-74,03229542708232","4,694546098810775"
593,163,Secretaría Distrital de Movilidad,"L-S 5:30 - 22:00
D 08:00 - 16:00",AC 13 37 35,Puente Aranda,112,Privado,Oro,"-74,0977517002657","4,6195846028802805"
594,164,Edifico Old Mutual - Skandia,"L-V 5:30 - 22:00
S 06:00 - 14:00",AV 19 109A 30,Usaquén,90,Privado,Oro,"-74,05045419142445","4,696175354225381"
595,154,Idipron CL 63,L-V 07:00 - 20:00,KR 27A 63B 07,Barrios Unidos,12,Privado,Plata,"-74,0747737861397","4,653400493015984"
596,155,Idipron Santa Lucía,L-V 07:00 - 20:00,DG 44 SUR 19 21,Teusaquillo,22,Privado,Plata,"-74,12369795172103","4,5750558835594735"
597,158,City Parking Centro Comercial Outlet Americas,"L-S 06:00 - 22:00
D-F 09:00 - 21:00",AV Americas 62 84,Puente Aranda,120,,Plata,"-74,11641797770908","4,629833397097312"
598,159,City Parking Centro Comercial Zona Inn,"L-S 06:00 - 22:00
D-F 09:00 - 21:00",CL 13 65 71,Puente Aranda,50,,Plata,"-74,11495975418646","4,634455587349717"
599,160,City Parking CL 13 - 68,"L-S 06:00 - 22:00
D-F 09:00 - 21:00",CL 13 66 70,Puente Aranda,22,,Plata,"-74,11715538496287","4,636809554245332"
600,113,City Parking cl 23 con 5,L-S 06:00 - 22:00 D-F 08:00 - 19:00,CL 23 5 91,Santa Fé,12,Público,Plata,"-74,06944896569921","4,608430514210577"
601,1,City Parking Edificio Pijao,L-V 05:30 - 22:00 S 06:00 - 14:00,AK 11 98 07,Chapinero,40,Público,Oro,"-74,04428387843517","4,681123645845228"
602,2,City Parking Capital Tower,L-V 05:30 - 22:00 S 06:00 - 14:00,AC 100  7 33,Chapinero,80,Público,Oro,"-74,03933641778768","4,680180119760269"
603,3,City Parking MegaTower,L-V 05:30 - 22:00 S 06:00 - 14:00,AC 100 13 21,Chapinero,126,Público,Oro,"-74,04624122569258","4,68373580966605"
604,4,City Parking 125,L-V 05:30 - 22:00 S 06:00 - 14:00,AK 19 125 17,Usaquén,28,Público,Oro,"-74,04906492707462","4,704796281341318"
605,5,Centro Comercial Santa Barbara Drive,L-M 05:30 - 22:00 J-S 05:30 - 03:00 D-F 08:00 - 20:00,AK 19  122  49,Usaquén,32,Público,Oro,"-74,04945950038507","4,702419873807007"
606,6,Fundacion Santa Fe,24 h,AC 116 7 02,Usaquén,52,Público,Oro,"-74,03382439023862","4,6940529871073"
607,7,City Parking Medical Center,24 h,CL 119 7 14,Usaquén,14,Público,Oro,"-74,03218569068385","4,696117780197492"
