xcoord,ycoord
-74.0658547,4.6010217
-74.0664776,4.6013508
-74.0664423,4.601419
-74.0664423,4.601419
-74.0664423,4.601419
-74.0664423,4.601419
-74.0664423,4.601419
-74.0664423,4.601419
-74.0664423,4.601419
-74.0664423,4.601419
-74.0664423,4.601419
-74.0664423,4.601419
-74.0664423,4.601419
-74.0664423,4.601419
-74.0657152,4.6018133
-74.0654763,4.6018769
-74.0654763,4.6018769
-74.0654763,4.6018769
-74.0654763,4.6018769
-74.0655011,4.6021193
-74.0655011,4.6021193
-74.0654763,4.6018769
-74.0660833,4.601051
-74.0664776,4.6013508
-74.0655684,4.6009718
-74.0726236,4.6009017
-74.0725358,4.6008453
-74.0725358,4.6008453
-74.0724875,4.6000841
-74.0724875,4.6000841
-74.0724875,4.6000841
-74.0724875,4.6000841
-74.0721365,4.5998575
-74.0720251,4.6007207
-74.0720109,4.6007432
-74.0720109,4.6007432
-74.0720109,4.6007432
-74.0720109,4.6007432
-74.0720109,4.6007432
-74.0720109,4.6007432
-74.0719907,4.5997634
-74.0719907,4.5997634
-74.0719907,4.5997634
-74.0719907,4.5997634
-74.0719907,4.5997634
-74.0719907,4.5997634
-74.071562,4.5994853
-74.071133,4.6003961
-74.072512,4.6008906
-74.0725358,4.6008453
-74.0725358,4.6008453
-74.0726236,4.6009017
-74.0725358,4.6008453
-74.0725358,4.6008453
-74.0720251,4.6007207
-74.072512,4.6008906
-74.0719907,4.5997634
-74.0719907,4.5997634
-74.0719907,4.5997634
-74.0720448,4.6000026
-74.0721365,4.5998575
-74.0720448,4.6000026
-74.071133,4.6003961
-74.0716006,4.5995104
